# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 0.500000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000052            0.005722            0.000015            0.000126            
  0.000087            0.008126            0.000084            0.000213            
  0.000122            0.009782            0.000034            0.000215            
  0.000157            0.011444            0.000033            0.000176            
  0.000192            0.012673            0.000051            0.000221            
  0.000227            0.013972            0.000041            0.000190            
  0.000262            0.015066            0.000226            0.000145            
  0.000297            0.016193            0.000180            0.000386            
  0.000331            0.017085            0.000164            0.000339            
  0.000366            0.017927            0.000330            0.000354            
  0.000401            0.018877            0.000028            0.000248            
  0.000436            0.019671            0.000232            0.000522            
  0.000471            0.020673            0.000325            0.000888            
  0.000506            0.021562            0.000158            0.000573            
  0.000541            0.022211            0.000270            0.000712            
  0.000576            0.022780            0.000324            0.000660            
  0.000611            0.023612            0.000162            0.000421            
  0.000646            0.024207            0.000233            0.000836            
  0.000680            0.024961            0.000283            0.000216            
  0.000715            0.025554            0.000266            0.000569            

# Order j             0.541 +- 0.005      0.780 +- 0.240      0.693 +- 0.222      
# Factor K            1.293 +- 0.046      0.082 +- 0.150      0.096 +- 0.163      

  0.000052            0.005709            0.000033            0.000048            
  0.000087            0.008062            0.000052            0.000064            
  0.000122            0.009975            0.000125            0.000329            
  0.000157            0.011461            0.000059            0.000185            
  0.000192            0.012767            0.000206            0.000247            
  0.000227            0.014112            0.000106            0.000179            
  0.000262            0.015100            0.000148            0.000212            
  0.000297            0.016150            0.000138            0.000251            
  0.000331            0.017236            0.000022            0.000061            
  0.000366            0.018207            0.000219            0.000511            
  0.000401            0.018974            0.000216            0.000521            
  0.000436            0.019926            0.000218            0.000724            
  0.000471            0.020709            0.000397            0.000820            
  0.000506            0.021371            0.000494            0.000555            
  0.000541            0.022340            0.000222            0.000890            
  0.000576            0.022914            0.000170            0.001168            
  0.000611            0.023688            0.000297            0.000139            
  0.000646            0.024490            0.000021            0.001231            
  0.000680            0.025058            0.000287            0.000269            
  0.000715            0.025732            0.000238            0.000275            

# Order j             0.541 +- 0.005      0.564 +- 0.273      0.753 +- 0.366      
# Factor K            1.302 +- 0.048      0.016 +- 0.034      0.169 +- 0.472      

  0.000052            0.005685            0.000070            0.000067            
  0.000087            0.008067            0.000151            0.000080            
  0.000122            0.009986            0.000122            0.000310            
  0.000157            0.011520            0.000167            0.000359            
  0.000192            0.012700            0.000251            0.000203            
  0.000227            0.013975            0.000373            0.000326            
  0.000262            0.014912            0.000375            0.000268            
  0.000297            0.016091            0.000308            0.000364            
  0.000331            0.016876            0.000381            0.000133            
  0.000366            0.018034            0.000267            0.000430            
  0.000401            0.018808            0.000408            0.000419            
  0.000436            0.019651            0.000398            0.000542            
  0.000471            0.020612            0.000391            0.000948            
  0.000506            0.021407            0.000412            0.000611            
  0.000541            0.022020            0.000223            0.000891            
  0.000576            0.022908            0.000661            0.000817            
  0.000611            0.023427            0.000404            0.000410            
  0.000646            0.024181            0.000590            0.000892            
  0.000680            0.024921            0.000350            0.000245            
  0.000715            0.025500            0.000591            0.000589            

# Order j             0.539 +- 0.005      0.580 +- 0.133      0.671 +- 0.228      
# Factor K            1.272 +- 0.046      0.035 +- 0.035      0.091 +- 0.159      

  0.000052            0.005655            0.000114            0.000076            
  0.000087            0.008084            0.000076            0.000059            
  0.000122            0.009843            0.000060            0.000252            
  0.000157            0.011351            0.000121            0.000167            
  0.000192            0.012808            0.000254            0.000246            
  0.000227            0.013891            0.000143            0.000154            
  0.000262            0.015100            0.000071            0.000173            
  0.000297            0.016109            0.000205            0.000160            
  0.000331            0.017098            0.000202            0.000166            
  0.000366            0.017974            0.000319            0.000255            
  0.000401            0.018824            0.000102            0.000445            
  0.000436            0.019719            0.000119            0.000727            
  0.000471            0.020635            0.000060            0.000714            
  0.000506            0.021599            0.000360            0.000841            
  0.000541            0.022304            0.000147            0.000947            
  0.000576            0.023119            0.000141            0.001060            
  0.000611            0.023823            0.000285            0.000278            
  0.000646            0.024337            0.000332            0.001230            
  0.000680            0.025012            0.000220            0.000172            
  0.000715            0.025826            0.000152            0.000629            

# Order j             0.547 +- 0.004      0.365 +- 0.203      0.971 +- 0.370      
# Factor K            1.365 +- 0.046      0.003 +- 0.005      0.918 +- 2.570      

  0.000052            0.005697            0.000083            0.000100            
  0.000087            0.008018            0.000068            0.000055            
  0.000122            0.009975            0.000035            0.000374            
  0.000157            0.011427            0.000078            0.000266            
  0.000192            0.012899            0.000123            0.000192            
  0.000227            0.013976            0.000252            0.000248            
  0.000262            0.015132            0.000088            0.000266            
  0.000297            0.016184            0.000093            0.000299            
  0.000331            0.017240            0.000229            0.000172            
  0.000366            0.018206            0.000153            0.000289            
  0.000401            0.018837            0.000036            0.000479            
  0.000436            0.019957            0.000176            0.000767            
  0.000471            0.020684            0.000043            0.000790            
  0.000506            0.021583            0.000145            0.000598            
  0.000541            0.022321            0.000173            0.000961            
  0.000576            0.023297            0.000329            0.000965            
  0.000611            0.023845            0.000138            0.000163            
  0.000646            0.024290            0.000175            0.001188            
  0.000680            0.025011            0.000250            0.000148            
  0.000715            0.025900            0.000427            0.000402            

# Order j             0.544 +- 0.005      0.764 +- 0.294      0.675 +- 0.322      
# Factor K            1.333 +- 0.054      0.064 +- 0.143      0.092 +- 0.226      

  0.000052            0.005704            0.000061            0.000082            
  0.000087            0.008054            0.000077            0.000063            
  0.000122            0.009882            0.000063            0.000297            
  0.000157            0.011413            0.000063            0.000253            
  0.000192            0.012712            0.000165            0.000229            
  0.000227            0.013997            0.000103            0.000215            
