# Convergence Analysis with parameters:
#   scheme              : milstein
#   Final time T        : 1.000000
#   Number of particles : 10000
#
# NOTE: The most recent j and K data is on the bottom#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000976            0.005791            0.001332            0.002867            
  0.001026            0.006104            0.001419            0.003042            

# Order j             1.047 +- 0.009      1.056 +- 0.026      1.080 +- 0.090      
# Factor K            8.213 +- 0.530      1.976 +- 0.364      5.458 +- 3.516      

  0.000075            0.000328            0.000062            0.000191            
  0.000125            0.000590            0.000126            0.000227            
  0.000175            0.000925            0.000181            0.000536            
  0.000225            0.001223            0.000247            0.000662            
  0.000275            0.001519            0.000315            0.000846            
  0.000325            0.001844            0.000399            0.000806            
  0.000375            0.002118            0.000445            0.001046            
  0.000425            0.002439            0.000531            0.001056            
  0.000475            0.002714            0.000557            0.001546            
  0.000525            0.003025            0.000636            0.001418            
  0.000575            0.003297            0.000650            0.001966            
  0.000625            0.003440            0.000758            0.001359            
  0.000675            0.003887            0.000799            0.002054            
  0.000725            0.004196            0.000846            0.002354            
  0.000775            0.004479            0.000908            0.002512            
  0.000825            0.004794            0.000954            0.002852            
  0.000876            0.005147            0.001089            0.002313            
  0.000925            0.005421            0.001086            0.003244            
  0.000976            0.005712            0.001227            0.002822            
  0.001026            0.005987            0.001254            0.003005            

# Order j             1.049 +- 0.009      1.049 +- 0.023      1.080 +- 0.087      
# Factor K            8.197 +- 0.535      1.705 +- 0.279      5.390 +- 3.378      

  0.000075            0.000329            0.000063            0.000191            
  0.000125            0.000597            0.000132            0.000229            
  0.000175            0.000923            0.000187            0.000530            
  0.000225            0.001224            0.000258            0.000657            
  0.000275            0.001534            0.000318            0.000844            
  0.000325            0.001844            0.000402            0.000799            
  0.000375            0.002126            0.000454            0.001047            
  0.000425            0.002463            0.000540            0.001064            
  0.000475            0.002733            0.000566            0.001552            
  0.000525            0.003049            0.000665            0.001427            
  0.000575            0.003307            0.000669            0.001966            
  0.000625            0.003475            0.000762            0.001356            
  0.000675            0.003920            0.000822            0.002072            
  0.000725            0.004225            0.000884            0.002352            
  0.000775            0.004502            0.000951            0.002520            
  0.000825            0.004838            0.000973            0.002861            
  0.000876            0.005170            0.001129            0.002321            
