# Convergence Analysis with parameters:
#   scheme              : euler
#   Final time T        : 3.000000
#   Number of particles : 10000
#
# dt                  Strong              Weak-($h(X)=X$)     Weak-($h(X)=X^2$)   
  0.000672            0.024849            0.000134            0.001168            
  0.000712            0.025850            0.000235            0.000495            
  0.000753            0.026432            0.000296            0.000615            
  0.000794            0.027597            0.000357            0.000564            
  0.000835            0.027818            0.000269            0.001118            

# Order j             0.553 +- 0.005      0.357 +- 0.183      0.834 +- 0.251      
# Factor K            1.413 +- 0.049      0.003 +- 0.004      0.330 +- 0.617      

# Order j             0.616 +- 0.001      1.196 +- 0.035      1.221 +- 0.036      
# Factor K            2.315 +- 0.015      2.058 +- 0.403      8.643 +- 1.736      

  0.000061            0.006089            0.000043            0.000156            
  0.000102            0.008655            0.000061            0.000042            
  0.000142            0.010548            0.000075            0.000179            
  0.000183            0.012333            0.000139            0.000291            
  0.000224            0.013759            0.000097            0.000158            
  0.000265            0.014991            0.000271            0.000224            
  0.000305            0.016078            0.000150            0.000389            
  0.000346            0.017421            0.000043            0.000592            
  0.000387            0.018216            0.000151            0.000478            
  0.000427            0.019301            0.000237            0.000349            
  0.000468            0.020279            0.000132            0.000711            
  0.000509            0.021245            0.000352            0.000244            
  0.000549            0.022177            0.000146            0.000401            
  0.000590            0.022822            0.000113            0.000638            
  0.000631            0.023938            0.000244            0.000817            
  0.000672            0.024621            0.000133            0.001208            
  0.000712            0.025198            0.000229            0.000441            
  0.000753            0.026082            0.000281            0.000565            
  0.000794            0.026806            0.000314            0.000010            
  0.000835            0.027320            0.000580            0.000923            

# Order j             0.540 +- 0.005      0.915 +- 0.302      0.652 +- 0.288      
# Factor K            1.270 +- 0.049      0.219 +- 0.491      0.070 +- 0.151      

  0.000061            0.006135            0.000070            0.000047            
  0.000102            0.008742            0.000122            0.000099            
  0.000142            0.010478            0.000087            0.000124            
  0.000183            0.012223            0.000138            0.000177            
  0.000224            0.013778            0.000176            0.000063            
  0.000265            0.014897            0.000231            0.000102            
  0.000305            0.016517            0.000270            0.000216            
  0.000346            0.017431            0.000256            0.000340            
  0.000387            0.018418            0.000349            0.000419            
  0.000427            0.019512            0.000185            0.000284            
  0.000468            0.020675            0.000404            0.000648            
  0.000509            0.021473            0.000553            0.000044            
  0.000549            0.022404            0.000295            0.000431            
  0.000590            0.023459            0.000422            0.000580            
  0.000631            0.024092            0.000398            0.000894            
  0.000672            0.024814            0.000300            0.000953            
  0.000712            0.025710            0.000355            0.000333            
  0.000753            0.026280            0.000385            0.000348            
  0.000794            0.026911            0.000369            0.000187            
  0.000835            0.027995            0.000317            0.000783            

# Order j             0.547 +- 0.005      0.533 +- 0.129      0.863 +- 0.351      
# Factor K            1.357 +- 0.054      0.018 +- 0.018      0.282 +- 0.735      

  0.000061            0.006162            0.000097            0.000054            
  0.000102            0.008633            0.000010            0.000096            
  0.000142            0.010674            0.000060            0.000088            
  0.000183            0.012306            0.000164            0.000098            
  0.000224            0.013650            0.000188            0.000144            
  0.000265            0.014995            0.000187            0.000076            
  0.000305            0.016195            0.000034            0.000130            
  0.000346            0.017280            0.000115            0.000070            
  0.000387            0.018399            0.000285            0.000177            
  0.000427            0.019398            0.000216            0.000155            
  0.000468            0.020288            0.000236            0.000232            
  0.000509            0.021206            0.000361            0.000320            
  0.000549            0.022206            0.000363            0.000200            
  0.000590            0.022990            0.000417            0.000149            
  0.000631            0.023708            0.000303            0.000538            
  0.000672            0.024672            0.000182            0.000521            
  0.000712            0.025474            0.000487            0.000294            
  0.000753            0.026193            0.000348            0.000179            
  0.000794            0.027041            0.000514            0.000090            
  0.000835            0.027873            0.000646            0.000313            

# Order j             0.546 +- 0.004      1.144 +- 0.224      0.709 +- 0.298      
# Factor K            1.332 +- 0.039      1.700 +- 2.810      0.048 +- 0.108      

  0.000061            0.006216            0.000070            0.000056            
  0.000102            0.008652            0.000112            0.000112            
  0.000142            0.010662            0.000064            0.000143            
  0.000183            0.012204            0.000049            0.000039            
  0.000224            0.013737            0.000153            0.000111            
  0.000265            0.015031            0.000222            0.000243            
  0.000305            0.016344            0.000183            0.000066            
  0.000346            0.017565            0.000280            0.000320            
  0.000387            0.018487            0.000380            0.000216            
  0.000427            0.019413            0.000317            0.000177            
  0.000468            0.020477            0.000233            0.000379            
  0.000509            0.021540            0.000454            0.000045            
  0.000549            0.022163            0.000154            0.000213            
  0.000590            0.023364            0.000283            0.000337            
  0.000631            0.023910            0.000225            0.000721            
  0.000672            0.024868            0.000244            0.000892            
  0.000712            0.025748            0.000335            0.000227            
  0.000753            0.026328            0.000082            0.000290            
  0.000794            0.027100            0.000499            0.000243            
  0.000835            0.027775            0.000247            0.000569            

# Order j             0.546 +- 0.004      0.473 +- 0.203      0.930 +- 0.398      
# Factor K            1.338 +- 0.045      0.009 +- 0.014      0.353 +- 1.045      

  0.000061            0.006111            0.000125            0.000186            
  0.000102            0.008656            0.000131            0.000123            
  0.000142            0.010657            0.000109            0.000318            
  0.000183            0.012258            0.000190            0.000408            
  0.000224            0.013753            0.000207            0.000276            
  0.000265            0.015189            0.000243            0.000508            
  0.000305            0.016392            0.000324            0.000334            
  0.000346            0.017383            0.000344            0.000630            
  0.000387            0.018434            0.000239            0.000585            
  0.000427            0.019537            0.000235            0.000509            
  0.000468            0.020493            0.000038            0.000510            
  0.000509            0.021391            0.000370            0.000341            
  0.000549            0.022289            0.000398            0.000589            
  0.000590            0.023225            0.000126            0.000768            
  0.000631            0.024134            0.000140            0.001210            
  0.000672            0.024942            0.000287            0.001189            
  0.000712            0.025704            0.000355            0.000586            
  0.000753            0.026449            0.000445            0.000654            
  0.000794            0.027187            0.000329            0.000450            
  0.000835            0.027800            0.000369            0.001124            

# Order j             0.547 +- 0.004      0.400 +- 0.164      0.658 +- 0.194      
# Factor K            1.358 +- 0.045      0.006 +- 0.007      0.094 +- 0.137      

  0.000061            0.006121            0.000104            0.000094            
  0.000102            0.008620            0.000072            0.000087            
  0.000142            0.010442            0.000151            0.000311            
  0.000183            0.012295            0.000215            0.000281            
  0.000224            0.013736            0.000066            0.000029            
  0.000265            0.014945            0.000174            0.000232            
  0.000305            0.016034            0.000168            0.000228            
  0.000346            0.017171            0.000266            0.000430            
  0.000387            0.018267            0.000114            0.000373            
  0.000427            0.019206            0.000304            0.000355            
  0.000468            0.020199            0.000135            0.000296            
  0.000509            0.021143            0.000139            0.000116            
  0.000549            0.022142            0.000048            0.000320            
  0.000590            0.022694            0.000184            0.000361            
  0.000631            0.023667            0.000357            0.000934            
  0.000672            0.024573            0.000318            0.000984            
  0.000712            0.025325            0.000464            0.000364            
  0.000753            0.025843            0.000162            0.000124            
  0.000794            0.026736            0.000297            0.000225            
  0.000835            0.027311            0.000372            0.000531            

# Order j             0.541 +- 0.005      0.583 +- 0.220      0.554 +- 0.313      
# Factor K            1.274 +- 0.045      0.019 +- 0.032      0.025 +- 0.059      

  0.000061            0.006172            0.000109            0.000056            
  0.000102            0.008693            0.000122            0.000110            
  0.000142            0.010649            0.000064            0.000081            
  0.000183            0.012373            0.000139            0.000096            
  0.000224            0.013856            0.000171            0.000164            
  0.000265            0.015141            0.000107            0.000142            
  0.000305            0.016380            0.000183            0.000034            
  0.000346            0.017512            0.000145            0.000233            
  0.000387            0.018472            0.000087            0.000133            
  0.000427            0.019645            0.000177            0.000034            
  0.000468            0.020563            0.000092            0.000367            
  0.000509            0.021498            0.000024            0.000173            
  0.000549            0.022346            0.000065            0.000072            
  0.000590            0.023309            0.000161            0.000294            
  0.000631            0.024192            0.000153            0.000802            
  0.000672            0.024857            0.000217            0.000718            
  0.000712            0.025905            0.000204            0.000158            
  0.000753            0.026516            0.000051            0.000458            
  0.000794            0.027241            0.000086            0.000193            
  0.000835            0.027836            0.000069            0.000455            

# Order j             0.546 +- 0.004      0.003 +- 0.145      1.055 +- 0.469      
# Factor K            1.348 +- 0.045      0.000 +- 0.000      0.803 +- 2.783      

  0.000061            0.006079            0.000048            0.000187            
  0.000102            0.008710            0.000096            0.000111            
  0.000142            0.010584            0.000019            0.000359            
  0.000183            0.012296            0.000059            0.000250            
  0.000224            0.013750            0.000075            0.000181            
  0.000265            0.015103            0.000006            0.000232            
  0.000305            0.016327            0.000307            0.000306            
  0.000346            0.017488            0.000250            0.000449            
  0.000387            0.018615            0.000208            0.000447            
  0.000427            0.019569            0.000281            0.000484            
  0.000468            0.020588            0.000478            0.000597            
  0.000509            0.021417            0.000310            0.000204            
  0.000549            0.022643            0.000458            0.000594            
  0.000590            0.023299            0.000235            0.000625            
  0.000631            0.024120            0.000347            0.001126            
  0.000672            0.024821            0.000264            0.001159            
  0.000712            0.025724            0.000426            0.000497            
  0.000753            0.026505            0.000391            0.000354            
  0.000794            0.027205            0.000612            0.000392            
  0.000835            0.027888            0.000486            0.000912            

# Order j             0.548 +- 0.005      1.013 +- 0.214      0.693 +- 0.250      
# Factor K            1.367 +- 0.050      0.663 +- 1.051      0.102 +- 0.192      

  0.000061            0.006141            0.000067            0.000151            
  0.000102            0.008784            0.000072            0.000089            
  0.000142            0.010762            0.000091            0.000139            
  0.000183            0.012306            0.000214            0.000323            
  0.000224            0.013909            0.000191            0.000073            
  0.000265            0.015022            0.000267            0.000219            
  0.000305            0.016326            0.000402            0.000384            
  0.000346            0.017523            0.000427            0.000567            
  0.000387            0.018464            0.000289            0.000412            
  0.000427            0.019575            0.000439            0.000519            
  0.000468            0.020479            0.000463            0.000747            
  0.000509            0.021351            0.000390            0.000304            
  0.000549            0.022153            0.000323            0.000277            
  0.000590            0.022993            0.000541            0.000790            
  0.000631            0.023937            0.000275            0.001136            
  0.000672            0.024379            0.000284            0.001062            
  0.000712            0.025439            0.000393            0.000524            
  0.000753            0.026273            0.000269            0.000664            
  0.000794            0.026842            0.000304            0.000441            
  0.000835            0.027586            0.000429            0.000906            

# Order j             0.536 +- 0.005      0.416 +- 0.137      0.810 +- 0.245      
# Factor K            1.237 +- 0.049      0.008 +- 0.008      0.259 +- 0.474      

  0.000061            0.006082            0.000048            0.000124            
  0.000102            0.008631            0.000060            0.000027            
  0.000142            0.010529            0.000228            0.000197            
  0.000183            0.012086            0.000356            0.000200            
  0.000224            0.013527            0.000341            0.000118            
  0.000265            0.014817            0.000245            0.000153            
  0.000305            0.016221            0.000269            0.000196            
  0.000346            0.017181            0.000231            0.000305            
  0.000387            0.018252            0.000262            0.000320            
  0.000427            0.019135            0.000397            0.000137            
  0.000468            0.020125            0.000278            0.000451            
  0.000509            0.021105            0.000210            0.000094            
  0.000549            0.021936            0.000360            0.000093            
  0.000590            0.022804            0.000255            0.000390            
  0.000631            0.023552            0.000421            0.000817            
  0.000672            0.024547            0.000268            0.000721            
  0.000712            0.025535            0.000258            0.000146            
  0.000753            0.025977            0.000105            0.000177            
  0.000794            0.027001            0.000404            0.000183            
  0.000835            0.027756            0.000525            0.000608            

# Order j             0.550 +- 0.004      0.330 +- 0.150      0.650 +- 0.357      
