# Convergence data for milstein-P10000-S16384-T0
# dt                  strong              weak($h(X)=X$)      weak($h(X)=X^2$)    
  0.000366            0.081807            0.012322            0.064208            
  0.000732            0.134956            0.039936            0.158273            
  0.001465            0.221780            0.096928            0.304394            
  0.002930            0.348412            0.182341            0.580031            
  0.005859            0.538891            0.319917            1.036140            
  0.011719            0.779518            0.398059            1.677636            

# Order j             0.198968            0.117643            0.452445            
# Offset K            4.856915            2.464243            30.958022           
