# Domain Analysis with parameters:
#   scheme              : milstein
##
# dt                  % leftDomain       
  0.012000            0.510000            
  0.012250            0.400000            
  0.012500            0.670000            
  0.012150            0.370000            
  0.012300            0.550000            
  0.012300            0.370000            
  0.012450            0.590000            
  0.012600            0.570000            
  0.012900            0.870000            
  0.013200            1.120000            
  0.012025            0.360000            
  0.012025            0.370000            
  0.012075            0.530000            
  0.012075            0.420000            
  0.012075            0.410000            
  0.012125            0.440000            
  0.012150            0.330000            
  0.012175            0.400000            
  0.012225            0.480000            
  0.012250            0.330000            
  0.012250            0.410000            
  0.012275            0.550000            
  0.012300            0.580000            
  0.012325            0.460000            
  0.012350            0.610000            
  0.012350            0.400000            
